"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"30.12.2024","34.186,18","34.062,02","34.339,73","33.966,30","257,12M","0,07%"
"27.12.2024","34.160,97","33.821,18","34.160,97","33.623,67","299,54M","1,25%"
"23.12.2024","33.739,90","33.648,38","33.849,64","33.541,40","327,67M","-0,08%"
"20.12.2024","33.766,29","33.519,24","33.792,62","33.266,92","855,66M","-0,06%"
"19.12.2024","33.787,00","34.026,24","34.170,28","33.708,16","978,56M","-1,78%"
"18.12.2024","34.400,99","34.318,44","34.505,14","34.210,01","557,31M","0,25%"
"17.12.2024","34.315,24","34.474,13","34.601,64","34.237,82","1,17B","-1,22%"
"16.12.2024","34.740,25","34.904,59","35.004,86","34.659,93","803,00M","-0,43%"
"13.12.2024","34.888,79","34.906,79","35.007,21","34.821,23","695,10M","0,09%"
"12.12.2024","34.857,37","34.841,03","34.959,21","34.828,52","495,36M","0,36%"
"11.12.2024","34.731,31","34.557,84","34.753,10","34.537,73","544,91M","0,60%"
"10.12.2024","34.524,70","34.544,35","34.621,04","34.394,03","404,77M","-0,10%"
"09.12.2024","34.559,83","34.955,11","34.965,31","34.552,82","420,21M","-0,55%"
"06.12.2024","34.749,50","34.658,93","34.886,00","34.648,82","448,16M","0,36%"
"05.12.2024","34.626,28","34.121,12","34.652,26","34.117,03","538,47M","1,59%"
"04.12.2024","34.083,91","33.937,44","34.270,87","33.935,51","433,11M","0,75%"
"03.12.2024","33.829,34","33.614,24","33.958,37","33.608,58","414,51M","1,03%"
"02.12.2024","33.483,17","33.238,13","33.598,02","33.100,31","426,77M","0,21%"
"29.11.2024","33.414,56","33.155,78","33.422,29","33.105,83","380,27M","0,46%"
"28.11.2024","33.260,13","33.235,76","33.358,02","33.145,09","288,00M","0,51%"
"27.11.2024","33.089,72","32.993,44","33.089,89","32.709,22","334,98M","-0,23%"
"26.11.2024","33.167,64","33.242,34","33.389,78","32.988,40","449,82M","-0,78%"
"25.11.2024","33.427,72","33.665,72","33.708,38","33.291,16","823,03M","-0,20%"
"22.11.2024","33.494,83","33.503,32","33.541,37","32.959,88","428,63M","0,60%"
"21.11.2024","33.294,96","33.251,82","33.329,85","32.859,66","387,01M","0,20%"
"20.11.2024","33.227,70","33.529,92","33.544,04","33.131,02","338,45M","-0,29%"
"19.11.2024","33.324,73","33.787,78","33.830,17","32.787,77","544,26M","-1,28%"
"18.11.2024","33.758,43","33.888,98","33.890,26","33.489,81","439,31M","-1,27%"
"15.11.2024","34.191,79","34.264,71","34.470,36","34.145,29","461,80M","-0,48%"
"14.11.2024","34.358,16","33.814,81","34.364,76","33.745,49","895,77M","1,93%"
"13.11.2024","33.707,52","33.575,48","33.856,30","33.475,16","411,59M","0,30%"
"12.11.2024","33.607,14","34.076,73","34.169,01","33.604,16","525,44M","-2,15%"
"11.11.2024","34.343,83","34.087,37","34.380,71","34.034,93","354,10M","1,56%"
